procID,event_type,cs_clock,real_clock,human_date,anomaly
65,LEAVE,180,1688295401,2023-07-02 10:56:41,False
87,ACCESS,181,1688295404,2023-07-02 10:56:44,False
87,LEAVE,182,1688295407,2023-07-02 10:56:47,False
10,ACCESS,183,1688295409,2023-07-02 10:56:49,False
10,LEAVE,184,1688295412,2023-07-02 10:56:52,False
55,ACCESS,185,1688295413,2023-07-02 10:56:53,False
55,LEAVE,186,1688295416,2023-07-02 10:56:56,False
61,ACCESS,187,1688295418,2023-07-02 10:56:58,False
61,LEAVE,188,1688295421,2023-07-02 10:57:01,False
88,ACCESS,189,1688295423,2023-07-02 10:57:03,False
88,LEAVE,190,1688295426,2023-07-02 10:57:06,False
37,ACCESS,191,1688295427,2023-07-02 10:57:07,False
37,LEAVE,192,1688295430,2023-07-02 10:57:10,False
78,ACCESS,193,1688295431,2023-07-02 10:57:11,False
78,LEAVE,194,1688295434,2023-07-02 10:57:14,False
83,ACCESS,195,1688295435,2023-07-02 10:57:15,False
83,LEAVE,196,1688295438,2023-07-02 10:57:18,False
59,ACCESS,197,1688295440,2023-07-02 10:57:20,False
59,LEAVE,198,1688295443,2023-07-02 10:57:23,False
76,ACCESS,199,1688295446,2023-07-02 10:57:26,False
76,LEAVE,200,1688295449,2023-07-02 10:57:29,False
7,ACCESS,201,1688295450,2023-07-02 10:57:30,False
7,LEAVE,202,1688295453,2023-07-02 10:57:33,False
63,ACCESS,203,1688295454,2023-07-02 10:57:34,False
63,LEAVE,204,1688295457,2023-07-02 10:57:37,False
42,ACCESS,205,1688295459,2023-07-02 10:57:39,False
42,LEAVE,206,1688295462,2023-07-02 10:57:42,False
94,ACCESS,207,1688295464,2023-07-02 10:57:44,False
94,LEAVE,208,1688295467,2023-07-02 10:57:47,False
41,ACCESS,209,1688295469,2023-07-02 10:57:49,False
41,LEAVE,210,1688295472,2023-07-02 10:57:52,False
64,ACCESS,211,1688295473,2023-07-02 10:57:53,False
64,LEAVE,212,1688295476,2023-07-02 10:57:56,False
67,ACCESS,213,1688295478,2023-07-02 10:57:58,False
67,LEAVE,214,1688295481,2023-07-02 10:58:01,False
20,ACCESS,215,1688295483,2023-07-02 10:58:03,False
20,LEAVE,216,1688295486,2023-07-02 10:58:06,False
